dep,date2,golos
Івахів С.П.,2021-05-02,90
Івахів С.П.,2021-05-23,0
Івахів С.П.,2021-06-06,97
Івахів С.П.,2021-06-20,0
Івахів С.П.,2021-07-04,132
Івахів С.П.,2021-07-18,0
Івахів С.П.,2021-07-25,0
Івахів С.П.,2021-08-29,0
Івахів С.П.,2021-09-12,64
Івахів С.П.,2021-09-26,0
Івахів С.П.,2021-10-10,75
Івахів С.П.,2021-10-24,0
Івахів С.П.,2021-11-07,0
Івахів С.П.,2021-11-21,0
Івахів С.П.,2021-12-05,268
Івахів С.П.,2021-12-19,0
Івахів С.П.,2022-01-30,0
Івахів С.П.,2022-02-06,0
Івахів С.П.,2022-02-20,50
Івахів С.П.,2022-02-27,0
Івахів С.П.,2022-04-24,78
Івахів С.П.,2022-05-08,18
Івахів С.П.,2022-05-15,3
Івахів С.П.,2022-05-22,30
Івахів С.П.,2022-06-05,53
Івахів С.П.,2022-06-19,38
Івахів С.П.,2022-06-26,71
Івахів С.П.,2022-07-03,45
Івахів С.П.,2022-07-10,100
Івахів С.П.,2022-07-24,94
Івахів С.П.,2022-07-31,212
Івахів С.П.,2022-08-21,62
Івахів С.П.,2022-09-04,0
Івахів С.П.,2022-09-11,0
Івахів С.П.,2022-09-25,0
Івахів С.П.,2022-10-09,0
Івахів С.П.,2022-10-23,0
Івахів С.П.,2022-11-06,0
Івахів С.П.,2022-11-20,0
Івахів С.П.,2022-12-04,0
Івахів С.П.,2022-12-18,0
Івахів С.П.,2023-01-15,0
Івахів С.П.,2023-02-12,0
Івченко В.Є.,2020-12-20,184
Івченко В.Є.,2021-01-31,210
Івченко В.Є.,2021-02-07,146
Івченко В.Є.,2021-02-21,177
Івченко В.Є.,2021-02-28,4
Івченко В.Є.,2021-03-07,153
Івченко В.Є.,2021-03-21,396
Івченко В.Є.,2021-04-04,50
Івченко В.Є.,2021-04-18,541
Івченко В.Є.,2021-05-02,247
Івченко В.Є.,2021-05-23,257
Івченко В.Є.,2021-06-06,220
Івченко В.Є.,2021-06-20,384
Івченко В.Є.,2021-07-04,322
Івченко В.Є.,2021-07-18,379
Івченко В.Є.,2021-07-25,9
Івченко В.Є.,2021-08-29,4
Івченко В.Є.,2021-09-12,91
Івченко В.Є.,2021-09-26,161
Івченко В.Є.,2021-10-10,109
Івченко В.Є.,2021-10-24,373
Івченко В.Є.,2021-11-07,360
Івченко В.Є.,2021-11-21,156
Івченко В.Є.,2021-12-05,325
Івченко В.Є.,2021-12-19,211
Івченко В.Є.,2022-01-30,116
Івченко В.Є.,2022-02-06,0
Івченко В.Є.,2022-02-20,152
Івченко В.Є.,2022-02-27,31
Івченко В.Є.,2022-04-24,74
Івченко В.Є.,2022-05-08,82
Івченко В.Є.,2022-05-15,41
Івченко В.Є.,2022-05-22,28
Івченко В.Є.,2022-06-05,53
Івченко В.Є.,2022-06-19,38
Івченко В.Є.,2022-06-26,59
Івченко В.Є.,2022-07-03,0
Івченко В.Є.,2022-07-10,100
Івченко В.Є.,2022-07-24,4
Івченко В.Є.,2022-07-31,0
Івченко В.Є.,2022-08-21,132
Івченко В.Є.,2022-09-04,48
Івченко В.Є.,2022-09-11,69
Івченко В.Є.,2022-09-25,87
Івченко В.Є.,2022-10-09,196
Івченко В.Є.,2022-10-23,77
Івченко В.Є.,2022-11-06,103
Івченко В.Є.,2022-11-20,35
Івченко В.Є.,2022-12-04,0
Івченко В.Є.,2022-12-18,76
Івченко В.Є.,2023-01-15,0
Івченко В.Є.,2023-02-12,155
Іонова М.М.,2020-12-20,193
Іонова М.М.,2021-01-31,212
Іонова М.М.,2021-02-07,175
Іонова М.М.,2021-02-21,176
Іонова М.М.,2021-02-28,0
Іонова М.М.,2021-03-07,69
Іонова М.М.,2021-03-21,377
Іонова М.М.,2021-04-04,0
Іонова М.М.,2021-04-18,475
Іонова М.М.,2021-05-02,320
Іонова М.М.,2021-05-23,238
Іонова М.М.,2021-06-06,234
Іонова М.М.,2021-06-20,316
Іонова М.М.,2021-07-04,109
Іонова М.М.,2021-07-18,394
Іонова М.М.,2021-07-25,0
Іонова М.М.,2021-08-29,3
Іонова М.М.,2021-09-12,152
Іонова М.М.,2021-09-26,154
Іонова М.М.,2021-10-10,103
Іонова М.М.,2021-10-24,398
Іонова М.М.,2021-11-07,357
Іонова М.М.,2021-11-21,156
Іонова М.М.,2021-12-05,330
Іонова М.М.,2021-12-19,217
Іонова М.М.,2022-01-30,115
Іонова М.М.,2022-02-06,17
Іонова М.М.,2022-02-20,142
Іонова М.М.,2022-02-27,20
Іонова М.М.,2022-04-24,0
Іонова М.М.,2022-05-08,90
Іонова М.М.,2022-05-15,44
Іонова М.М.,2022-05-22,30
Іонова М.М.,2022-06-05,53
Іонова М.М.,2022-06-19,38
Іонова М.М.,2022-06-26,71
Іонова М.М.,2022-07-03,43
Іонова М.М.,2022-07-10,87
Іонова М.М.,2022-07-24,93
Іонова М.М.,2022-07-31,209
Іонова М.М.,2022-08-21,92
Іонова М.М.,2022-09-04,0
Іонова М.М.,2022-09-11,67
Іонова М.М.,2022-09-25,129
Іонова М.М.,2022-10-09,106
Іонова М.М.,2022-10-23,45
Іонова М.М.,2022-11-06,68
Іонова М.М.,2022-11-20,0
Іонова М.М.,2022-12-04,0
Іонова М.М.,2022-12-18,82
Іонова М.М.,2023-01-15,151
Іонова М.М.,2023-02-12,155
Іонушас С.К.,2020-12-20,175
Іонушас С.К.,2021-01-31,217
Іонушас С.К.,2021-02-07,174
Іонушас С.К.,2021-02-21,179
Іонушас С.К.,2021-02-28,4
Іонушас С.К.,2021-03-07,152
Іонушас С.К.,2021-03-21,312
Іонушас С.К.,2021-04-04,0
Іонушас С.К.,2021-04-18,552
Іонушас С.К.,2021-05-02,373
Іонушас С.К.,2021-05-23,266
Іонушас С.К.,2021-06-06,237
Іонушас С.К.,2021-06-20,391
Іонушас С.К.,2021-07-04,350
Іонушас С.К.,2021-07-18,421
Іонушас С.К.,2021-07-25,9
Іонушас С.К.,2021-08-29,4
Іонушас С.К.,2021-09-12,161
Іонушас С.К.,2021-09-26,160
Іонушас С.К.,2021-10-10,107
Іонушас С.К.,2021-10-24,439
Іонушас С.К.,2021-11-07,376
Іонушас С.К.,2021-11-21,161
Іонушас С.К.,2021-12-05,329
Іонушас С.К.,2021-12-19,218
Іонушас С.К.,2022-01-30,117
Іонушас С.К.,2022-02-06,27
Іонушас С.К.,2022-02-20,153
Іонушас С.К.,2022-02-27,32
Іонушас С.К.,2022-04-24,78
Іонушас С.К.,2022-05-08,90
Іонушас С.К.,2022-05-15,45
Іонушас С.К.,2022-05-22,0
Іонушас С.К.,2022-06-05,4
Іонушас С.К.,2022-06-19,38
Іонушас С.К.,2022-06-26,26
Іонушас С.К.,2022-07-03,46
Іонушас С.К.,2022-07-10,100
Іонушас С.К.,2022-07-24,91
Іонушас С.К.,2022-07-31,212
Іонушас С.К.,2022-08-21,138
Іонушас С.К.,2022-09-04,51
Іонушас С.К.,2022-09-11,74
Іонушас С.К.,2022-09-25,129
Іонушас С.К.,2022-10-09,198
Іонушас С.К.,2022-10-23,77
Іонушас С.К.,2022-11-06,0
Іонушас С.К.,2022-11-20,100
Іонушас С.К.,2022-12-04,97
Іонушас С.К.,2022-12-18,85
Іонушас С.К.,2023-01-15,160
Іонушас С.К.,2023-02-12,152
Іоффе Ю.Я.,2020-12-20,0
Іоффе Ю.Я.,2021-01-31,217
Іоффе Ю.Я.,2021-02-07,177
Іоффе Ю.Я.,2021-02-21,180
Іоффе Ю.Я.,2021-02-28,4
Іоффе Ю.Я.,2021-03-07,155
Іоффе Ю.Я.,2021-03-21,396
Іоффе Ю.Я.,2021-04-04,1
Іоффе Ю.Я.,2021-04-18,429
Іоффе Ю.Я.,2021-05-02,317
Іоффе Ю.Я.,2021-05-23,215
Іоффе Ю.Я.,2021-06-06,237
Іоффе Ю.Я.,2021-06-20,390
Іоффе Ю.Я.,2021-07-04,288
Іоффе Ю.Я.,2021-07-18,321
Іоффе Ю.Я.,2021-07-25,0
Іоффе Ю.Я.,2021-08-29,0
Іоффе Ю.Я.,2021-09-12,159
Іоффе Ю.Я.,2021-09-26,163
Іоффе Ю.Я.,2021-10-10,108
Іоффе Ю.Я.,2021-10-24,423
Іоффе Ю.Я.,2021-11-07,341
Іоффе Ю.Я.,2021-11-21,133
Іоффе Ю.Я.,2021-12-05,333
Іоффе Ю.Я.,2021-12-19,220
Іоффе Ю.Я.,2022-01-30,118
Іоффе Ю.Я.,2022-02-06,27
Іоффе Ю.Я.,2022-02-20,151
Іоффе Ю.Я.,2022-02-27,32
Іоффе Ю.Я.,2022-04-24,78
Іоффе Ю.Я.,2022-05-08,90
Іоффе Ю.Я.,2022-05-15,45
Іоффе Ю.Я.,2022-05-22,30
Іоффе Ю.Я.,2022-06-05,53
Іоффе Ю.Я.,2022-06-19,38
Іоффе Ю.Я.,2022-06-26,71
Іоффе Ю.Я.,2022-07-03,46
Іоффе Ю.Я.,2022-07-10,100
Іоффе Ю.Я.,2022-07-24,94
Іоффе Ю.Я.,2022-07-31,212
Іоффе Ю.Я.,2022-08-21,138
Іоффе Ю.Я.,2022-09-04,51
Іоффе Ю.Я.,2022-09-11,74
Іоффе Ю.Я.,2022-09-25,129
Іоффе Ю.Я.,2022-10-09,199
Іоффе Ю.Я.,2022-10-23,45
Іоффе Ю.Я.,2022-11-06,105
Іоффе Ю.Я.,2022-11-20,100
Іоффе Ю.Я.,2022-12-04,98
Іоффе Ю.Я.,2022-12-18,86
Іоффе Ю.Я.,2023-01-15,160
Іоффе Ю.Я.,2023-02-12,156
Ісаєнко Д.В.,2020-12-20,196
Ісаєнко Д.В.,2021-01-31,193
Ісаєнко Д.В.,2021-02-07,166
Ісаєнко Д.В.,2021-02-21,179
Ісаєнко Д.В.,2021-02-28,3
Ісаєнко Д.В.,2021-03-07,137
Ісаєнко Д.В.,2021-03-21,372
Ісаєнко Д.В.,2021-04-04,1
Ісаєнко Д.В.,2021-04-18,370
Ісаєнко Д.В.,2021-05-02,310
Ісаєнко Д.В.,2021-05-23,76
Ісаєнко Д.В.,2021-06-06,197
Ісаєнко Д.В.,2021-06-20,349
Ісаєнко Д.В.,2021-07-04,99
Ісаєнко Д.В.,2021-07-18,151
Ісаєнко Д.В.,2021-07-25,0
Ісаєнко Д.В.,2021-08-29,0
Ісаєнко Д.В.,2021-09-12,140
Ісаєнко Д.В.,2021-09-26,114
Ісаєнко Д.В.,2021-10-10,103
Ісаєнко Д.В.,2021-10-24,346
Ісаєнко Д.В.,2021-11-07,154
Ісаєнко Д.В.,2021-11-21,126
Ісаєнко Д.В.,2021-12-05,90
Ісаєнко Д.В.,2021-12-19,153
Ісаєнко Д.В.,2022-01-30,0
Ісаєнко Д.В.,2022-02-06,27
Ісаєнко Д.В.,2022-02-20,143
Ісаєнко Д.В.,2022-02-27,20
Ісаєнко Д.В.,2022-04-24,78
Ісаєнко Д.В.,2022-05-08,23
Ісаєнко Д.В.,2022-05-15,21
Ісаєнко Д.В.,2022-05-22,24
Ісаєнко Д.В.,2022-06-05,53
Ісаєнко Д.В.,2022-06-19,38
Ісаєнко Д.В.,2022-06-26,50
Ісаєнко Д.В.,2022-07-03,46
Ісаєнко Д.В.,2022-07-10,100
Ісаєнко Д.В.,2022-07-24,85
Ісаєнко Д.В.,2022-07-31,207
Ісаєнко Д.В.,2022-08-21,138
Ісаєнко Д.В.,2022-09-04,1
Ісаєнко Д.В.,2022-09-11,71
Ісаєнко Д.В.,2022-09-25,121
Ісаєнко Д.В.,2022-10-09,185
Ісаєнко Д.В.,2022-10-23,77
Ісаєнко Д.В.,2022-11-06,103
Ісаєнко Д.В.,2022-11-20,100
Ісаєнко Д.В.,2022-12-04,98
Ісаєнко Д.В.,2022-12-18,86
Ісаєнко Д.В.,2023-01-15,124
Ісаєнко Д.В.,2023-02-12,155
Абдуллін О.Р.,2020-12-20,356
Абдуллін О.Р.,2021-01-31,410
Абдуллін О.Р.,2021-02-07,346
Абдуллін О.Р.,2021-02-21,350
Абдуллін О.Р.,2021-02-28,8
Абдуллін О.Р.,2021-03-07,304
Абдуллін О.Р.,2021-03-21,708
Абдуллін О.Р.,2021-04-04,0
Абдуллін О.Р.,2021-04-18,1020
Абдуллін О.Р.,2021-05-02,646
Абдуллін О.Р.,2021-05-23,0
Абдуллін О.Р.,2021-06-06,472
Абдуллін О.Р.,2021-06-20,716
Абдуллін О.Р.,2021-07-04,594
Абдуллін О.Р.,2021-07-18,722
Абдуллін О.Р.,2021-07-25,0
Абдуллін О.Р.,2021-08-29,8
Абдуллін О.Р.,2021-09-12,322
Абдуллін О.Р.,2021-09-26,286
Абдуллін О.Р.,2021-10-10,214
Абдуллін О.Р.,2021-10-24,276
Абдуллін О.Р.,2021-11-07,672
Абдуллін О.Р.,2021-11-21,102
Абдуллін О.Р.,2021-12-05,606
Абдуллін О.Р.,2021-12-19,318
Абдуллін О.Р.,2022-01-30,230
Абдуллін О.Р.,2022-02-06,50
Абдуллін О.Р.,2022-02-20,292
Абдуллін О.Р.,2022-02-27,46
Абдуллін О.Р.,2022-04-24,156
Абдуллін О.Р.,2022-05-08,180
Абдуллін О.Р.,2022-05-15,90
Абдуллін О.Р.,2022-05-22,60
Абдуллін О.Р.,2022-06-05,106
Абдуллін О.Р.,2022-06-19,76
Абдуллін О.Р.,2022-06-26,142
Абдуллін О.Р.,2022-07-03,76
Абдуллін О.Р.,2022-07-10,144
Абдуллін О.Р.,2022-07-24,188
Абдуллін О.Р.,2022-07-31,332
Абдуллін О.Р.,2022-08-21,276
Абдуллін О.Р.,2022-09-04,102
Абдуллін О.Р.,2022-09-11,146
Абдуллін О.Р.,2022-09-25,232
Абдуллін О.Р.,2022-10-09,0
Абдуллін О.Р.,2022-10-23,154
Абдуллін О.Р.,2022-11-06,208
Абдуллін О.Р.,2022-11-20,200
Абдуллін О.Р.,2022-12-04,196
Абдуллін О.Р.,2022-12-18,144
Абдуллін О.Р.,2023-01-15,320
Абдуллін О.Р.,2023-02-12,308
Абрамович І.О.,2020-12-20,364
Абрамович І.О.,2021-01-31,424
Абрамович І.О.,2021-02-07,248
Абрамович І.О.,2021-02-21,352
Абрамович І.О.,2021-02-28,6
Абрамович І.О.,2021-03-07,280
Абрамович І.О.,2021-03-21,756
Абрамович І.О.,2021-04-04,0
Абрамович І.О.,2021-04-18,792
Абрамович І.О.,2021-05-02,420
Абрамович І.О.,2021-05-23,164
Абрамович І.О.,2021-06-06,412
Абрамович І.О.,2021-06-20,540
Абрамович І.О.,2021-07-04,568
Абрамович І.О.,2021-07-18,448
Абрамович І.О.,2021-07-25,0
Абрамович І.О.,2021-08-29,0
Абрамович І.О.,2021-09-12,232
Абрамович І.О.,2021-09-26,116
Абрамович І.О.,2021-10-10,78
Абрамович І.О.,2021-10-24,786
Абрамович І.О.,2021-11-07,484
Абрамович І.О.,2021-11-21,216
Абрамович І.О.,2021-12-05,0
Абрамович І.О.,2021-12-19,0
Абрамович І.О.,2022-01-30,0
Абрамович І.О.,2022-02-06,0
Абрамович І.О.,2022-02-20,70
Абрамович І.О.,2022-02-27,0
Абрамович І.О.,2022-04-24,0
Абрамович І.О.,2022-05-08,0
Абрамович І.О.,2022-05-15,0
Абрамович І.О.,2022-05-22,0
Абрамович І.О.,2022-06-05,0
Абрамович І.О.,2022-06-19,0
Абрамович І.О.,2022-06-26,0
Абрамович І.О.,2022-07-03,0
Абрамович І.О.,2022-07-10,0
Абрамович І.О.,2022-07-24,0
Абрамович І.О.,2022-07-31,0
Абрамович І.О.,2022-08-21,0
Абрамович І.О.,2022-09-04,0
Абрамович І.О.,2022-09-11,0
Абрамович І.О.,2022-09-25,0
Абрамович І.О.,2022-10-09,310
Абрамович І.О.,2022-10-23,0
Абрамович І.О.,2022-11-06,0
Абрамович І.О.,2022-11-20,0
Абрамович І.О.,2022-12-04,0
Абрамович І.О.,2022-12-18,0
Абрамович І.О.,2023-01-15,274
Абрамович І.О.,2023-02-12,0
Аксьонов А.А.,2021-05-23,220
Аксьонов А.А.,2021-06-06,470
Аксьонов А.А.,2021-06-20,746
Аксьонов А.А.,2021-07-04,406
Аксьонов А.А.,2021-07-18,0
Аксьонов А.А.,2021-07-25,0
Аксьонов А.А.,2021-08-29,0
Аксьонов А.А.,2021-09-12,186
Аксьонов А.А.,2021-09-26,288
Аксьонов А.А.,2021-10-10,220
Аксьонов А.А.,2021-10-24,738
Аксьонов А.А.,2021-11-07,414
Аксьонов А.А.,2021-11-21,82
Аксьонов А.А.,2021-12-05,482
Аксьонов А.А.,2021-12-19,346
Аксьонов А.А.,2022-01-30,76
Аксьонов А.А.,2022-02-06,0
Аксьонов А.А.,2022-02-20,52
Аксьонов А.А.,2022-02-27,18
Аксьонов А.А.,2022-04-24,17
Аксьонов А.А.,2022-05-08,90
Аксьонов А.А.,2022-05-15,43
Аксьонов А.А.,2022-05-22,60
Аксьонов А.А.,2022-06-05,78
Аксьонов А.А.,2022-06-19,76
Аксьонов А.А.,2022-06-26,140
Аксьонов А.А.,2022-07-03,92
Аксьонов А.А.,2022-07-10,200
Аксьонов А.А.,2022-07-24,188
Аксьонов А.А.,2022-07-31,422
Аксьонов А.А.,2022-08-21,268
Аксьонов А.А.,2022-09-04,102
Аксьонов А.А.,2022-09-11,148
Аксьонов А.А.,2022-09-25,258
Аксьонов А.А.,2022-10-09,398
Аксьонов А.А.,2022-10-23,148
Аксьонов А.А.,2022-11-06,210
Аксьонов А.А.,2022-11-20,198
Аксьонов А.А.,2022-12-04,196
Аксьонов А.А.,2022-12-18,0
