dep	fr
Порошенко П.О.	Європейської солідарністі
Саврасов М.В.	Європейської солідарністі
Синютка О.М.	Європейської солідарністі
Сюмар В.П.	Європейської солідарністі
Федина С.Р.	Європейської солідарністі
Фріз І.В.	Європейської солідарністі
Чийгоз А.З.	Європейської солідарністі
Южаніна Н.П.	Європейської солідарністі
Абдуллін О.Р.	Батьківщини
Бондарєв К.А.	Батьківщини
Власенко С.В.	Батьківщини
Волинець М.Я.	Батьківщини
Данілов В.Б.	Батьківщини
Дубіль В.О.	Батьківщини
Євтушок С.М.	Батьківщини
Івченко В.Є.	Батьківщини
Кабаченко В.В.	Батьківщини
Кириленко І.Г.	Батьківщини
Кожем’якін А.А.	Батьківщини
Крулько І.І.	Батьківщини
Кучеренко О.Ю.	Батьківщини
Лабунська А.В.	Батьківщини
Мейдич О.Л.	Батьківщини
Наливайченко В.О.	Батьківщини
Немиря Г.М.	Батьківщини
Ніколаєнко А.І.	Батьківщини
Пузійчук А.В.	Батьківщини
Соболєв С.В.	Батьківщини
Тарута С.О.	Батьківщини
Тимошенко Ю.В.	Батьківщини
Цимбалюк М.М.	Батьківщини
Шкрум А.І.	Батьківщини
Яценко А.В.	Батьківщини
Аксьонов А.А.	Позафракційних
Буймістер Л.А.	Позафракційних
Воронько О.Є.	Позафракційних
Гриб В.О.	Позафракційних
Деркач А.Л.	Позафракційних
Дмитрук А.Г.	Позафракційних
Довгий О.С.	Позафракційних
Дубінський О.А.	Позафракційних
Іванісов Р.В.	Позафракційних
Кондратюк О.К.	Позафракційних
Корнієнко О.С.	Позафракційних
Лерос Г.Б.	Позафракційних
Магера С.В.	Позафракційних
Магомедов М.С.	Позафракційних
Новинський В.В.	Позафракційних
Разумков Д.О.	Позафракційних
Савчук О.В.	Позафракційних
Світлична Ю.О.	Позафракційних
Соха Р.В.	Позафракційних
Стефанчук Р.О.	Позафракційних
Шевченко Є.В.	Позафракційних
Шенцев Д.О.	Позафракційних
Шпенов Д.Ю.	Позафракційних
Юрченко О.М.	Позафракційних
Яковенко Є.Г.	Позафракційних
Балога В.І.	За майбутнє
Батенко Т.І.	За майбутнє
Бондар В.В.	За майбутнє
Герега О.В.	За майбутнє
Гузь І.В.	За майбутнє
Дубневич Я.В.	За майбутнє
Івахів С.П.	За майбутнє
Кіссе А.І.	За майбутнє
Констанкевич І.М.	За майбутнє
Лабазюк С.П.	За майбутнє
Лубінець Д.В.	За майбутнє
Мінько С.А.	За майбутнє
Молоток І.Ф.	За майбутнє
М’ялик В.Н.	За майбутнє
Палиця І.П.	За майбутнє
Рудик С.Я.	За майбутнє
Скороход А.К.	За майбутнє
Урбанський А.І.	За майбутнє
Чайківський І.А.	За майбутнє
Шаповалов Ю.А.	За майбутнє
Юрчишин П.В.	За майбутнє
Арешонков В.Ю.	Довіри
Бабенко М.В.	Довіри
Бакунець П.А.	Довіри
Білозір Л.М.	Довіри
Вацак Г.А.	Довіри
Вельможний С.А.	Довіри
Горват Р.І.	Довіри
Єфімов М.В.	Довіри
Іванчук А.В.	Довіри
Кіт А.Б.	Довіри
Ковальов О.І.	Довіри
Кулініч О.І.	Довіри
Кучер М.І.	Довіри
Лунченко В.В.	Довіри
Люшняк М.В.	Довіри
Петьовка В.В.	Довіри
Поляк В.М.	Довіри
Приходько Б.В.	Довіри
Сухов О.С.	Довіри
Шахов С.В.	Довіри
Бобровська С.А.	Голосу
Василенко Л.В.	Голосу
Васильченко Г.І.	Голосу
Железняк Я.І.	Голосу
Клименко Ю.Л.	Голосу
Костенко Р.В.	Голосу
Лозинський Р.М.	Голосу
Макаров О.А.	Голосу
Осадчук А.П.	Голосу
Піпа Н.Р.	Голосу
Рахманін С.І.	Голосу
Рудик К.О.	Голосу
Рущишин Я.І.	Голосу
Совсун І.Р.	Голосу
Стефанишина О.А.	Голосу
Умєров Р.Е.	Голосу
Устінова О.Ю.	Голосу
Цабаль В.В.	Голосу
Шараськін А.А.	Голосу
Юрчишин Я.Р.	Голосу
